TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,AgeGroup,FrekuensiTransaksi,JamTransaksi,PenggunaanDevice,IPAddressAccount,Cluster_KMeans,Channel,CustomerOccupation
TX000039,AC00478,1526080.8535,2023-10-12 17:07:40,Debit,Atlanta,D000077,141.241.241.128,M030,66,90,1,117747713.14119998,2024-11-04 08:11:17,55+,7,17,4,9,1,ATM,Doctor
TX000040,AC00405,644023.8855,2023-01-24 17:17:20,Debit,Charlotte,D000038,141.241.241.128,M030,55,216,1,15165301.238599999,2024-11-04 08:07:32,46-55,6,17,7,9,3,Online,Retired
TX000041,AC00421,630284.9195000001,2023-07-31 18:39:50,Debit,Austin,D000557,13.149.61.4,M013,63,119,1,64322066.91839998,2024-11-04 08:07:31,55+,3,18,1,4,1,ATM,Retired
TX000042,AC00480,65279.53700000001,2023-01-09 16:13:21,Debit,Tucson,D000627,177.172.184.163,M030,38,19,1,211465224.44519997,2024-11-04 08:11:45,36-45,11,16,6,3,3,Online,Doctor
TX000043,AC00120,463249.027,2023-04-20 18:57:43,Credit,Charlotte,D000198,186.135.2.148,M053,57,116,1,198709014.96479997,2024-11-04 08:09:03,55+,6,18,5,7,2,Online,Doctor
TX000044,AC00117,106151.04199999999,2023-04-12 16:03:37,Debit,Tucson,D000197,147.119.62.178,M088,19,117,1,3597148.2145999996,2024-11-04 08:08:03,18-25,1,16,2,10,1,ATM,Student
TX000045,AC00011,583925.5035,2023-07-26 16:52:28,Debit,Louisville,D000685,134.222.122.238,M015,27,33,1,12922186.381399998,2024-11-04 08:09:53,26-35,7,16,4,8,0,Branch,Student
TX000046,AC00401,835218.0995,2023-10-04 17:49:29,Debit,Jacksonville,D000297,32.169.88.41,M055,74,90,1,69523272.75719999,2024-11-04 08:11:12,55+,6,17,4,6,0,Branch,Retired
TX000047,AC00282,315631.89650000003,2023-12-13 16:01:38,Debit,Louisville,D000103,32.169.88.41,M015,26,75,1,22453118.6298,2024-11-04 08:10:33,26-35,6,16,5,6,0,Branch,Student
TX000048,AC00439,979074.2840000001,2023-10-09 16:29:40,Debit,Charlotte,D000397,186.135.2.148,M053,19,105,1,11629248.908,2024-11-04 08:11:35,18-25,9,16,3,7,3,Online,Student
TX000049,AC00296,1202927.325,2023-11-27 16:45:57,Debit,Denver,D000284,81.102.230.41,M023,26,138,1,3950024.4874,2024-11-04 08:07:24,26-35,4,16,4,5,3,Online,Student
TX000050,AC00471,42234.1485,2023-03-27 16:45:18,Credit,Sacramento,D000304,81.102.230.41,M055,41,175,1,19861888.056599997,2024-11-04 08:06:31,36-45,6,16,5,5,2,Online,Engineer
TX000051,AC00159,816163.919,2023-02-13 16:59:39,Credit,Atlanta,D000661,141.241.241.128,M030,69,121,1,58131557.86959999,2024-11-04 08:07:07,55+,5,16,4,9,2,Online,Retired
TX000052,AC00482,814667.216,2023-02-21 17:45:55,Debit,Omaha,D000598,32.169.88.41,M015,51,264,1,77118889.89899999,2024-11-04 08:09:02,46-55,6,17,3,6,3,Online,Engineer
TX000053,AC00115,163927.6155,2023-06-07 16:45:34,Debit,Milwaukee,D000235,177.172.184.163,M036,67,145,1,221736423.27599996,2024-11-04 08:06:45,55+,3,16,5,3,0,Branch,Doctor
TX000054,AC00055,325245.335,2023-09-07 16:51:27,Debit,Austin,D000442,32.169.88.41,M036,28,142,1,13670040.1012,2024-11-04 08:08:58,26-35,5,16,5,6,0,Branch,Student
TX000055,AC00419,200769.5355,2023-03-29 17:47:16,Debit,Omaha,D000642,186.135.2.148,M034,62,90,1,66614870.087199986,2024-11-04 08:10:42,55+,3,17,4,7,1,ATM,Retired
TX000056,AC00374,608179.7675,2023-08-04 17:53:40,Debit,Atlanta,D000013,81.102.230.41,M018,25,83,1,19697351.3122,2024-11-04 08:09:15,18-25,6,17,5,5,0,Branch,Student
TX000057,AC00271,116167.43899999998,2023-12-14 17:52:37,Credit,Columbus,D000462,134.222.122.238,M034,57,52,1,52588335.77819999,2024-11-04 08:09:57,55+,5,17,3,8,4,Branch,Retired
TX000058,AC00456,561379.016,2023-03-03 17:37:41,Credit,Dallas,D000311,81.102.230.41,M010,68,61,1,69003925.76379998,2024-11-04 08:07:49,55+,11,17,6,5,4,Branch,Retired
TX000059,AC00143,741674.162,2023-06-09 16:18:15,Debit,New York,D000145,186.135.2.148,M007,48,28,1,83765222.26139998,2024-11-04 08:07:09,46-55,5,16,4,7,0,Branch,Engineer
TX000060,AC00427,215045.7795,2023-10-02 16:35:22,Debit,Atlanta,D000089,81.102.230.41,M007,23,51,1,13839932.472,2024-11-04 08:11:37,18-25,9,16,2,5,0,Branch,Student
TX000061,AC00438,1090904.8620000002,2023-10-06 18:44:37,Debit,New York,D000233,217.82.46.37,M018,46,152,1,81820832.34339999,2024-11-04 08:06:25,46-55,8,18,2,2,1,ATM,Engineer
TX000062,AC00002,506557.4715,2023-05-16 16:07:30,Debit,Dallas,D000285,81.102.230.41,M036,79,227,1,62110788.28479999,2024-11-04 08:11:03,55+,7,16,4,5,0,Branch,Retired
TX000063,AC00425,670906.9739999999,2023-11-07 16:48:23,Debit,Milwaukee,D000516,147.119.62.178,M030,48,226,1,98954522.56879999,2024-11-04 08:08:09,46-55,7,16,4,10,3,Online,Engineer
TX000064,AC00325,1153996.6500000001,2023-05-30 17:43:25,Credit,Tucson,D000548,81.102.230.41,M015,56,104,1,125831882.42459999,2024-11-04 08:08:01,55+,5,17,9,5,4,Branch,Engineer
TX000065,AC00434,31008.876,2023-11-02 16:01:40,Debit,Charlotte,D000461,217.82.46.37,M018,50,124,1,208097725.5788,2024-11-04 08:11:32,46-55,7,16,4,2,3,Online,Doctor
TX000066,AC00242,386322.33050000004,2023-03-29 17:00:31,Credit,Milwaukee,D000098,32.169.88.41,M030,42,186,1,38457515.5218,2024-11-04 08:11:41,36-45,9,17,5,6,4,Branch,Engineer
TX000067,AC00319,572623.4770000001,2023-04-25 16:11:24,Debit,New York,D000435,186.135.2.148,M015,56,225,1,44849753.165,2024-11-04 08:10:12,55+,5,16,3,7,0,Branch,Retired
TX000068,AC00460,999836.2410000002,2023-04-18 18:40:47,Debit,Albuquerque,D000305,186.135.2.148,M034,25,128,1,29030869.220799997,2024-11-04 08:12:10,18-25,12,18,3,7,0,Branch,Student
TX000069,AC00461,225042.988,2023-02-09 16:34:53,Credit,Austin,D000128,13.149.61.4,M018,60,16,1,54534808.439799994,2024-11-04 08:07:11,55+,3,16,6,4,2,Online,Engineer
TX000070,AC00395,362893.172,2023-11-13 16:42:28,Credit,New York,D000684,32.169.88.41,M030,32,103,1,14534824.997399999,2024-11-04 08:08:42,26-35,3,16,4,6,4,Branch,Engineer
TX000071,AC00217,256262.67750000005,2023-07-18 16:12:00,Debit,Atlanta,D000201,177.172.184.163,M091,44,220,1,57220208.7772,2024-11-04 08:10:18,36-45,6,16,3,3,1,ATM,Engineer
TX000072,AC00053,274798.76850000006,2023-01-13 17:00:16,Debit,Dallas,D000410,13.149.61.4,M066,35,135,1,94836640.93679997,2024-11-04 08:09:26,26-35,7,17,5,4,3,Online,Engineer
TX000073,AC00282,47530.1745,2023-07-04 18:20:33,Debit,Atlanta,D000180,147.119.62.178,M015,62,55,1,87267206.85739999,2024-11-04 08:12:15,55+,6,18,4,10,1,ATM,Retired
TX000074,AC00110,448857.65199999994,2023-10-20 16:54:28,Credit,Jacksonville,D000295,141.241.241.128,M030,26,280,1,97258574.20879999,2024-11-04 08:08:45,26-35,8,16,7,9,2,Online,Student
TX000075,AC00265,1685959.4355000001,2023-10-04 16:36:29,Debit,New York,D000231,81.102.230.41,M036,20,24,1,9014661.853,2024-11-04 08:06:51,18-25,9,16,3,5,0,Branch,Student
TX000076,AC00239,445403.72200000007,2023-12-28 17:31:03,Debit,Omaha,D000073,81.102.230.41,M066,37,51,1,99523557.87379998,2024-11-04 08:09:17,36-45,5,17,7,5,1,ATM,Engineer
TX000077,AC00007,312062.83550000004,2023-06-12 17:53:52,Debit,Atlanta,D000070,81.102.230.41,M088,22,113,1,9434483.455799999,2024-11-04 08:08:22,18-25,5,17,4,5,3,Online,Student
TX000078,AC00022,175632.6005,2023-03-13 16:32:12,Debit,Milwaukee,D000363,13.149.61.4,M034,44,69,1,218331881.32699996,2024-11-04 08:11:36,36-45,4,16,3,4,0,Branch,Doctor
TX000079,AC00464,230818.72650000002,2023-12-18 18:46:27,Debit,Miami,D000561,177.172.184.163,M034,19,77,1,20268023.0586,2024-11-04 08:06:50,18-25,8,18,4,3,0,Branch,Student
TX000080,AC00014,334359.87250000006,2023-07-17 18:54:31,Debit,Atlanta,D000375,13.149.61.4,M053,50,67,1,156627478.06159997,2024-11-04 08:10:29,46-55,9,18,2,4,3,Online,Doctor
TX000081,AC00406,352512.19350000005,2023-06-19 18:22:10,Debit,Denver,D000488,13.149.61.4,M018,38,102,1,8219797.634799999,2024-11-04 08:09:51,36-45,1,18,3,4,1,ATM,Engineer
TX000082,AC00445,662751.8615,2023-10-23 17:13:57,Credit,Milwaukee,D000097,186.135.2.148,M055,58,80,1,95984232.66039999,2024-11-04 08:08:16,55+,5,17,5,7,2,Online,Engineer
TX000083,AC00236,1685959.4355000001,2023-01-23 16:32:48,Debit,Houston,D000206,81.102.230.41,M091,63,87,1,70156426.81159998,2024-11-04 08:11:07,55+,6,16,3,5,1,ATM,Retired
TX000084,AC00220,498728.56350000005,2023-11-06 16:34:10,Debit,Denver,D000616,13.149.61.4,M013,49,170,1,106768381.48639998,2024-11-04 08:09:38,46-55,6,16,5,4,3,Online,Doctor
TX000085,AC00140,296865.5435,2023-07-03 16:40:24,Debit,Austin,D000494,81.102.230.41,M030,34,157,1,22668087.5228,2024-11-04 08:09:42,26-35,7,16,5,5,3,Online,Doctor
TX000086,AC00098,1685959.4355000001,2023-09-29 17:22:10,Credit,Austin,D000574,81.102.230.41,M034,54,30,1,128747574.69719999,2024-11-04 08:06:53,46-55,5,17,7,5,2,Online,Engineer
TX000087,AC00303,47127.216,2023-10-20 17:27:35,Debit,Atlanta,D000428,13.149.61.4,M018,64,69,1,146832483.67819998,2024-11-04 08:12:05,55+,6,17,6,4,0,Branch,Doctor
TX000088,AC00373,1090041.3795,2023-08-28 17:03:53,Debit,Washington,D000018,177.172.184.163,M018,48,115,1,157051018.84939998,2024-11-04 08:07:32,46-55,9,17,3,3,1,ATM,Doctor
TX000089,AC00438,31008.876,2023-06-22 18:37:29,Credit,Austin,D000453,177.172.184.163,M053,58,179,1,191670680.50339997,2024-11-04 08:09:10,55+,8,18,7,3,2,Online,Doctor
TX000090,AC00437,754031.556,2023-11-20 16:28:09,Debit,Atlanta,D000141,186.135.2.148,M022,24,100,1,11777272.470999999,2024-11-04 08:08:38,18-25,4,16,5,7,3,Online,Student
TX000091,AC00106,1375681.3905,2023-09-14 16:49:33,Credit,Milwaukee,D000322,141.241.241.128,M018,60,34,1,60459470.14479999,2024-11-04 08:08:12,55+,6,16,3,9,2,Online,Retired
TX000092,AC00310,429534.8325,2023-10-02 16:36:10,Debit,Atlanta,D000481,177.172.184.163,M088,53,55,1,43587610.5434,2024-11-04 08:08:01,46-55,7,16,4,3,1,ATM,Engineer
TX000093,AC00149,442602.20100000006,2023-03-27 18:16:04,Debit,Houston,D000526,177.172.184.163,M053,21,135,1,9194670.407,2024-11-04 08:10:44,18-25,6,18,4,3,0,Branch,Student
TX000094,AC00373,848362.2220000001,2023-12-21 16:37:03,Debit,Los Angeles,D000645,217.82.46.37,M047,19,260,1,20467520.141999997,2024-11-04 08:08:21,18-25,9,16,6,2,3,Online,Student
TX000095,AC00425,1236065.8645,2023-03-02 16:05:09,Debit,Austin,D000178,217.82.46.37,M055,29,72,1,17011950.974799998,2024-11-04 08:08:04,26-35,7,16,1,2,1,ATM,Engineer
TX000096,AC00010,976080.8780000001,2023-06-26 16:16:50,Credit,Atlanta,D000622,81.102.230.41,M030,51,127,1,114676112.63339998,2024-11-04 08:09:32,46-55,7,16,6,5,4,Branch,Engineer
TX000097,AC00348,1647582.4355000001,2023-04-18 17:27:23,Credit,San Francisco,D000019,81.102.230.41,M091,27,185,1,27863640.2004,2024-11-04 08:10:47,26-35,4,17,4,5,4,Branch,Student
TX000098,AC00011,48662.296,2023-07-17 17:08:24,Debit,Louisville,D000192,186.135.2.148,M007,57,78,1,2990921.0595999993,2024-11-04 08:11:05,55+,7,17,1,7,1,ATM,Engineer
TX000099,AC00453,283260.89700000006,2023-09-01 17:26:02,Debit,Charlotte,D000093,186.135.2.148,M013,71,133,1,31476307.742,2024-11-04 08:07:22,55+,9,17,2,7,0,Branch,Retired
TX000100,AC00178,220706.387,2023-09-11 16:19:04,Debit,Austin,D000528,134.222.122.238,M091,37,175,1,113712843.71839999,2024-11-04 08:08:38,36-45,5,16,3,8,0,Branch,Doctor
TX000101,AC00265,735629.7845,2023-01-24 17:23:56,Debit,Fort Worth,D000321,32.169.88.41,M066,30,24,1,132431799.35819998,2024-11-04 08:11:07,26-35,9,17,7,6,0,Branch,Engineer
TX000102,AC00018,189083.73900000003,2023-08-11 16:18:46,Credit,El Paso,D000528,81.102.230.41,M034,20,167,1,139594949.6682,2024-11-04 08:10:02,18-25,3,16,3,5,2,Online,Student
TX000103,AC00075,159725.334,2023-10-16 18:35:11,Credit,Fort Worth,D000607,13.149.61.4,M088,55,164,1,17574142.979399998,2024-11-04 08:10:52,46-55,5,18,1,4,4,Branch,Doctor
TX000104,AC00464,376401.87600000005,2023-02-24 16:29:23,Debit,Milwaukee,D000164,217.82.46.37,M036,27,146,1,140122032.5664,2024-11-04 08:08:32,26-35,8,16,5,2,0,Branch,Engineer
TX000105,AC00170,249335.62900000004,2023-01-02 16:36:02,Debit,Milwaukee,D000647,134.222.122.238,M034,32,235,1,118343377.81079999,2024-11-04 08:06:35,26-35,7,16,5,8,1,ATM,Engineer
TX000106,AC00235,588895.325,2023-11-30 16:31:03,Debit,Jacksonville,D000078,81.102.230.41,M047,46,51,1,140110428.70919997,2024-11-04 08:10:48,46-55,7,16,5,5,3,Online,Engineer
TX000107,AC00013,220629.633,2023-11-01 16:52:01,Debit,Atlanta,D000182,115.196.150.105,M053,59,80,1,91412907.99319999,2024-11-04 08:09:24,55+,8,16,4,1,3,Online,Retired
TX000108,AC00397,1451782.9815,2023-03-06 16:47:02,Debit,Sacramento,D000028,32.169.88.41,M034,27,17,1,6258001.930999999,2024-11-04 08:11:40,26-35,7,16,4,6,0,Branch,Student
TX000109,AC00423,966640.1359999999,2023-11-27 18:32:49,Debit,Los Angeles,D000518,81.102.230.41,M089,22,35,1,6662202.9568,2024-11-04 08:09:22,18-25,6,18,3,5,3,Online,Student
TX000110,AC00154,274453.3755,2023-07-31 16:37:46,Debit,Austin,D000469,32.169.88.41,M055,63,147,1,118738057.72299998,2024-11-04 08:10:42,55+,5,16,7,6,1,ATM,Retired
TX000111,AC00068,1685959.4355000001,2023-11-22 16:13:39,Debit,Columbus,D000400,141.241.241.128,M006,53,73,1,27223047.776,2024-11-04 08:07:35,46-55,4,16,3,9,1,ATM,Retired
TX000112,AC00318,471154.689,2023-03-21 16:29:31,Debit,New York,D000536,32.169.88.41,M089,25,180,1,14654582.754399998,2024-11-04 08:10:26,18-25,5,16,4,6,1,ATM,Student
TX000113,AC00396,488098.13450000004,2023-04-20 18:26:50,Credit,Dallas,D000477,141.241.241.128,M034,51,174,1,131648241.46239999,2024-11-04 08:06:56,46-55,8,18,3,9,2,Online,Engineer
TX000114,AC00121,410173.636,2023-03-01 17:52:14,Credit,Dallas,D000574,177.172.184.163,M088,78,282,1,52495951.222799994,2024-11-04 08:09:36,55+,2,17,7,3,5,ATM,Retired
TX000115,AC00336,629114.421,2023-02-10 16:52:48,Debit,Jacksonville,D000655,81.102.230.41,M055,40,104,1,7143316.7284,2024-11-04 08:06:30,36-45,4,16,4,5,3,Online,Engineer
TX000116,AC00468,31008.876,2023-07-21 16:43:11,Debit,Austin,D000673,81.102.230.41,M007,47,107,1,180682125.26979998,2024-11-04 08:09:53,46-55,4,16,6,5,3,Online,Doctor
TX000117,AC00282,575808.7679999999,2023-10-09 17:02:43,Credit,Austin,D000266,13.149.61.4,M030,68,47,1,201531578.84499997,2024-11-04 08:12:18,55+,6,17,4,4,2,Online,Doctor
TX000118,AC00498,109336.333,2024-01-01 16:34:10,Credit,Charlotte,D000256,141.241.241.128,M034,43,122,1,84624502.76379998,2024-11-04 08:07:42,36-45,8,16,5,9,5,ATM,Engineer
TX000119,AC00085,782219.4624999999,2023-07-07 16:11:38,Debit,Atlanta,D000544,81.102.230.41,M041,26,62,1,124170894.40359998,2024-11-04 08:06:30,26-35,6,16,3,5,3,Online,Engineer
TX000120,AC00092,222260.6555,2023-05-22 17:09:52,Debit,Jacksonville,D000663,81.102.230.41,M034,39,167,1,96416848.25959998,2024-11-04 08:10:02,36-45,8,17,9,5,0,Branch,Engineer
TX000121,AC00295,102793.0545,2023-08-16 16:17:12,Debit,Houston,D000489,186.135.2.148,M091,69,121,1,24566508.314199995,2024-11-04 08:08:43,55+,6,16,5,7,1,ATM,Retired
TX000122,AC00358,121540.21900000001,2023-11-17 16:02:02,Credit,Houston,D000434,13.149.61.4,M013,46,165,1,166246778.1456,2024-11-04 08:10:13,46-55,8,16,6,4,2,Online,Doctor
TX000123,AC00311,609945.1095,2023-05-22 17:29:35,Debit,Houston,D000314,32.169.88.41,M034,27,91,1,2164666.9199999995,2024-11-04 08:11:32,26-35,6,17,3,6,3,Online,Student
TX000124,AC00066,636386.8624999999,2023-08-25 17:26:07,Debit,Portland,D000037,177.172.184.163,M006,41,61,1,62074340.27179998,2024-11-04 08:11:00,36-45,4,17,8,3,3,Online,Engineer
TX000125,AC00340,31008.876,2023-11-27 16:38:34,Debit,Washington,D000021,81.102.230.41,M015,56,41,1,82690377.79639998,2024-11-04 08:10:48,55+,3,16,2,5,1,ATM,Retired
TX000126,AC00284,411670.33900000004,2023-08-04 17:46:44,Credit,Houston,D000112,81.102.230.41,M026,70,247,1,165898513.66219997,2024-11-04 08:11:56,55+,8,17,6,5,2,Online,Doctor
TX000127,AC00208,1149026.8285,2023-09-04 16:48:35,Debit,Tucson,D000042,186.135.2.148,M055,57,158,1,21058424.2548,2024-11-04 08:10:13,55+,4,16,6,7,0,Branch,Doctor
TX000128,AC00176,1614290.388,2023-08-09 17:34:26,Debit,Tucson,D000276,141.241.241.128,M089,26,80,1,16418666.5836,2024-11-04 08:09:58,26-35,8,17,3,9,3,Online,Student
TX000129,AC00053,73204.3875,2023-09-07 16:07:40,Debit,Atlanta,D000687,186.135.2.148,M015,26,108,1,4517869.6532,2024-11-04 08:07:42,26-35,7,16,4,7,3,Online,Student
TX000130,AC00320,1685959.4355000001,2023-07-11 16:39:53,Debit,Austin,D000015,186.135.2.148,M007,58,144,1,82440597.33179998,2024-11-04 08:09:24,55+,5,16,4,7,0,Branch,Doctor
TX000131,AC00382,239319.232,2023-07-03 17:14:07,Debit,Charlotte,D000118,32.169.88.41,M091,33,105,1,93869355.30199999,2024-11-04 08:07:25,26-35,6,17,2,6,0,Branch,Engineer
TX000132,AC00384,580356.4425,2023-09-25 17:13:36,Credit,Austin,D000052,81.102.230.41,M018,78,40,1,76371482.48139998,2024-11-04 08:11:55,55+,7,17,4,5,4,Branch,Retired
TX000133,AC00203,399197.814,2023-11-20 17:10:02,Debit,Louisville,D000339,177.172.184.163,M055,47,273,1,139022939.01519996,2024-11-04 08:08:45,46-55,6,17,4,3,3,Online,Engineer
